"","Western_Conference","W","L","W/L_percent","GB","PS/G","PA/G","SRS","Year"
"211","Portland Trail Blazers","28","38",".424","19.0","97.2","97.8","-0.22",2012
"212","Minnesota Timberwolves","26","40",".394","21.0","97.9","100.1","-1.83",2012
"213","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2012
"214","Los Angeles Lakers*","41","25",".621","—","97.3","95.9","1.96",2012
"215","Los Angeles Clippers*","40","26",".606","1.0","97.5","95.0","2.82",2012
"216","Phoenix Suns","33","33",".500","8.0","98.4","98.6","0.29",2012
"217","Golden State Warriors","23","43",".348","18.0","97.8","101.2","-2.79",2012
"218","Sacramento Kings","22","44",".333","19.0","98.8","104.4","-4.95",2012
"219","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2012
"220","San Antonio Spurs*","50","16",".758","—","103.7","96.5","7.28",2012
"221","Memphis Grizzlies*","41","25",".621","9.0","95.0","93.0","2.43",2012
"222","Dallas Mavericks*","36","30",".545","14.0","95.8","94.8","1.78",2012
"223","Houston Rockets","34","32",".515","16.0","98.1","97.9","0.57",2012
"224","New Orleans Hornets","21","45",".318","29.0","89.6","93.4","-3.11",2012
"225","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2013
"226","Oklahoma City Thunder*","60","22",".732","—","105.7","96.5","9.15",2013
"227","Denver Nuggets*","57","25",".695","3.0","106.1","101.1","5.37",2013
"228","Utah Jazz","43","39",".524","17.0","98.0","98.1","0.30",2013
"229","Portland Trail Blazers","33","49",".402","27.0","97.5","100.7","-2.53",2013
"230","Minnesota Timberwolves","31","51",".378","29.0","95.7","98.1","-1.83",2013
"231","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2013
"232","Los Angeles Clippers*","56","26",".683","—","101.1","94.6","6.43",2013
"233","Golden State Warriors*","47","35",".573","9.0","101.2","100.3","1.32",2013
"234","Los Angeles Lakers*","45","37",".549","11.0","102.2","101.0","1.48",2013
"235","Sacramento Kings","28","54",".341","28.0","100.2","105.1","-4.26",2013
"236","Phoenix Suns","25","57",".305","31.0","95.2","101.6","-5.75",2013
"237","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2013
"238","San Antonio Spurs*","58","24",".707","—","103.0","96.6","6.67",2013
"239","Memphis Grizzlies*","56","26",".683","2.0","93.4","89.3","4.32",2013
"240","Houston Rockets*","45","37",".549","13.0","106.0","102.5","3.69",2013
"241","Dallas Mavericks","41","41",".500","17.0","101.1","101.7","-0.24",2013
"242","New Orleans Hornets","27","55",".329","31.0","94.1","97.9","-3.12",2013
"243","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2014
"244","Oklahoma City Thunder*","59","23",".720","—","106.2","99.8","6.66",2014
"245","Portland Trail Blazers*","54","28",".659","5.0","106.7","102.8","4.44",2014
"246","Minnesota Timberwolves","40","42",".488","19.0","106.9","104.3","3.10",2014
"247","Denver Nuggets","36","46",".439","23.0","104.4","106.5","-1.40",2014
"248","Utah Jazz","25","57",".305","34.0","95.0","102.2","-6.27",2014
"249","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2014
"250","Los Angeles Clippers*","57","25",".695","—","107.9","101.0","7.27",2014
"251","Golden State Warriors*","51","31",".622","6.0","104.3","99.5","5.15",2014
